         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
16/ 7/2018 26: 2:24         350         350         350         350               350     322.163           1
16/ 7/2018 26: 2:26         360         360         360         360               360     322.284           1
16/ 7/2018 30: 2: 3         350         350         350         350               350     322.373           1
16/ 7/2018 30: 2: 4         360         360         360         360               360     322.492           1
16/ 7/2018 30: 2: 7         350         350         350         350               350     322.579           1
16/ 7/2018 30: 2: 9         360         360         360         360               360     322.697           1
16/ 7/2018 48: 2:24         350         350         350         350               350     322.783           1
16/ 7/2018 49: 2:52         360         360         360         360               360       322.9           1
16/ 7/2018 49: 2:56         350         350         350         350               350     322.984           1
16/ 7/2018 49: 2:57         360         360         360         360               360       323.1           1
16/ 7/2018 50: 2: 1         350         350         350         350               350     323.183           1
16/ 7/2018 50: 2: 5         360         360         360         360               360     323.297           1
16/ 7/2018 50: 2:42         350         350         350         350               350      323.38           1
16/ 7/2018 50: 2:49         360         360         360         360               360     323.492           1
16/ 7/2018 50: 2:51         350         350         350         350               350     323.574           1
17/ 7/2018 14: 2:25         340         340         340         340               340     323.624           1
17/ 7/2018 14: 2:30         350         350         350         350               350     323.704           1
17/ 7/2018 29: 2:37         360         360         360         360               360     323.815           1
17/ 7/2018 30: 2: 2         350         350         350         350               350     323.894           1
17/ 7/2018 30: 2: 4         360         360         360         360               360     324.003           1
17/ 7/2018 30: 2: 5         350         350         350         350               350     324.081           1
17/ 7/2018 30: 2:14         360         360         360         360               360     324.189           1
17/ 7/2018 30: 2:15         350         350         350         350               350     324.266           1
17/ 7/2018 30: 2:16         360         360         360         360               360     324.373           1
17/ 7/2018 30: 2:25         350         350         350         350               350     324.449           1
17/ 7/2018 30: 2:32         360         360         360         360               360     324.555           1
17/ 7/2018 31: 2:23         350         350         350         350               350      324.63           1
17/ 7/2018 31: 2:32         360         360         360         360               360     324.735           1
17/ 7/2018 31: 2:33         350         350         350         350               350     324.809           1
17/ 7/2018 47: 2:14         360         360         360         360               360     324.912           1
17/ 7/2018 47: 2:16         350         350         350         350               350     324.985           1
17/ 7/2018 47: 2:18         360         360         360         360               360     325.087           1
17/ 7/2018 47: 2:46         350         350         350         350               350      325.16           1
17/ 7/2018 47: 2:50         360         360         360         360               360     325.261           1
17/ 7/2018 48: 2:19         350         350         350         350               350     325.332           1
17/ 7/2018 49: 2:23         340         340         340         340               340     325.375           1
17/ 7/2018 50: 2:59         330         330         330         330               330     325.388           1
17/ 7/2018 52: 2:59         320         320         320         320               320     325.372           1
17/ 7/2018 53: 2: 3         330         330         330         330               330     325.386           1
17/ 7/2018 53: 2:12         320         320         320         320               320      325.37           1
17/ 7/2018 53: 2:16         330         330         330         330               330     325.384           1
17/ 7/2018 54: 2:19         320         320         320         320               320     325.368           1
17/ 7/2018 54: 2:58         330         330         330         330               330     325.381           1
17/ 7/2018 55: 2: 0         320         320         320         320               320     325.366           1
17/ 7/2018 55: 2:27         330         330         330         330               330     325.379           1
17/ 7/2018 55: 2:28         320         320         320         320               320     325.364           1
17/ 7/2018 55: 2:29         330         330         330         330               330     325.377           1
17/ 7/2018 56: 2: 1         320         320         320         320               320     325.362           1
17/ 7/2018 56: 2:15         330         330         330         330               330     325.375           1
17/ 7/2018 56: 2:43         320         320         320         320               320      325.36           1
17/ 7/2018 56: 2:55         330         330         330         330               330     325.373           1
17/ 7/2018 57: 2: 5         320         320         320         320               320     325.358           1
17/ 7/2018 57: 2: 9         330         330         330         330               330     325.371           1
17/ 7/2018 57: 2:18         320         320         320         320               320     325.356           1
17/ 7/2018 57: 2:26         330         330         330         330               330     325.369           1
17/ 7/2018 57: 2:29         320         320         320         320               320     325.354           1
17/ 7/2018 57: 2:31         330         330         330         330               330     325.367           1
17/ 7/2018 58: 2:26         340         340         340         340               340     325.407           1
17/ 7/2018 58: 2:29         330         330         330         330               330     325.419           1
17/ 7/2018 58: 2:34         340         340         340         340               340     325.458           1
